menuID,name,cost,salesNum
1,Classic Milk Tea,6.83,8964
2,Taro Milk Tea,4.79,9059
3,Matcha Milk Tea,5.42,9045
4,Thai Milk Tea,6.15,8824
5,Honeydew Milk Tea,5.19,8802
6,Brown Sugar Milk Tea,5.68,8977
7,Strawberry Milk Tea,6.72,8966
8,Mango Milk Tea,7.22,8949
9,Oolong Milk Tea,4.52,8806
10,Wintermelon Tea,5.1,8919
11,Passionfruit Tea,5.77,8875
12,Lychee Tea,6.4,8876
13,Peach Green Tea,6.64,8816
14,Coconut Milk Tea,5.75,8864
15,Almond Milk Tea,7.23,8949
16,Coffee Milk Tea,5.15,8825
17,Red Bean Milk Tea,6.13,8887
18,Pineapple Tea,6.73,9050
19,Guava Green Tea,5.24,8815
20,Caramel Milk Tea,7.14,8859
